glottocode,name,isocodes,level,macroarea,latitude,longitude
ayiz1248,Ayizo-Kobe,,dialect,Africa,,
ayiz1246,Ayizo-Seto,,dialect,Africa,,
ayiz1247,Ayizo-Tori,,dialect,Africa,,
aytb1234,Ayt Bunsar,,dialect,Africa,,
ayth1234,Ayt Hmed,,dialect,Africa,,
aytm1234,Ayt Mezduy,,dialect,Africa,,
ayts1234,Ayt Seddat,,dialect,Africa,,
aytw1238,Ayt Waziten,,dialect,Africa,,
ayuu1242,Ayu,ayu,language,Africa,9.2634,8.60225
ayun1238,Ayun,,dialect,Africa,,
azer1256,Azer,,dialect,Africa,,
azhi1238,Azhiga,,dialect,Africa,,
azom1238,Azom,,dialect,Africa,,
azza1238,Azzaga,,dialect,Africa,,
juba1238,Ba,,dialect,Africa,,
kwaa1262,Baa,kwb,language,Africa,9.42222,11.4439
baad1239,Baadu,,dialect,Africa,,
baag1244,Baagato,,dialect,Africa,,
baan1241,Baan,bvj,language,Africa,4.66709,7.30065
baan1242,Baangi,bqx,language,Africa,10.8083,5.7261
baan1243,Baanma,,dialect,Africa,,
baat1238,Baatonum,bba,language,Africa,9.63186,2.99607
baaz1234,Baazem,,language,Africa,6.80235,9.97124
baba1264,Baba,bbw,language,Africa,6.11222,10.5216
baba1265,Babadjou,,dialect,Africa,,
baba1273,Babalia Creole Arabic,bbz,language,Africa,12.7617,16.6925
baba1263,Babango,bbm,language,Africa,1.79475,23.5851
baba1266,Babanki,bbk,language,Africa,5.97863,10.2869
babb1238,Babbe,,dialect,Africa,,
babe1238,Babete,,dialect,Africa,,
babo1241,Babong,,dialect,Africa,,
baca1249,Baca (Cameroon),,dialect,Africa,,
baca1246,Bacama,bcy,language,Africa,9.53072,12.0416
baca1245,Bacama-Yimburu,,dialect,Africa,9.48873,12.01884
bach1243,Bachit-Gashish,,dialect,Africa,,
bada1258,Bada (Nigeria),bau,language,Africa,9.62456,9.95
bada1259,Badara Duguri,,dialect,Africa,,
badd1234,Baddey Aweer,,dialect,Africa,,
bade1248,Bade,bde,language,Africa,12.789,10.6557
djia1238,Badia,,dialect,Africa,,
badj1245,Badjia,,dialect,Africa,,
badw1238,Badwe'e,,dialect,Africa,,
bafa1249,Bafanji,bfj,language,Africa,5.84612,10.4518
bafa1250,Bafatá Creole,,dialect,Africa,,
bafa1248,Bafaw,,dialect,Africa,,
bafa1247,Bafaw-Balong,bwt,language,Africa,4.53307,9.522
bafe1238,Bafeuk,,dialect,Africa,,
bafi1243,Bafia,ksf,language,Africa,4.72603,11.0982
bafo1235,Bafoto,,language,Africa,1.19,19.76
bafo1236,Bafou,,dialect,Africa,,
bafu1245,Bafun,,dialect,Africa,,
bafu1246,Bafut,bfd,language,Africa,6.14153,10.1194
bafw1241,Bafwakoyi,,dialect,Africa,,
bafw1242,Bafwandaka,,dialect,Africa,,
baga1279,Baga Binari,,dialect,Africa,,
baga1271,Baga Kaloum,bqf,language,Africa,9.951,-12.887
baga1273,Baga Koga,bgo,language,Africa,10.1286,-13.947
baga1277,Bagam,,dialect,Africa,,
baga1270,Baga Manduri,bmd,language,Africa,10.76747,-14.60521
baga1276,Baga Mboteni,bgm,dialect,Africa,12.27246,-12.07358
baga1278,Bagangu,,dialect,Africa,,
baga1272,Baga Sitemu,bsp,language,Africa,10.4793,-14.4756
baga1274,Baga Sobané,bsv,language,Africa,9.98865,-13.9054
bage1238,Bageto,,dialect,Africa,,
bagi1246,Bagirmi,bmi,language,Africa,11.52392,14.769495
bagi1244,Bagirmi Fulfulde,fui,language,Africa,8.81656,18.3467
bago1246,Bago,,dialect,Africa,,
bago1245,Bago-Kusuntu,bqg,language,Africa,8.52697,1.41214
bahr1243,Bahri Girinti,,dialect,Africa,,
baii1251,Bai,bdj,language,Africa,7.57221,26.48246
bain1261,Bainouk-Gunyaamolo-Gutobor,bcz,language,Africa,12.8672,-16.229
bain1260,Bainouk-Samik,bcb,language,Africa,12.5053,-15.9969
bain1259,Bainounk-Gujaher,bab,language,Africa,12.3128,-16.0586
bais1246,Baiso,bsw,language,Africa,6.44892,37.7681
bais1242,Baissa Fali,fah,language,Africa,7.38023,10.7684
baji1239,Bàjii,,dialect,Africa,,
baju1245,Bajuni,,dialect,Africa,,
baju1246,Bajuta of the Eyassi,,dialect,Africa,,
bajw1238,Bajwo,,dialect,Africa,,
baka1272,Baka (Cameroon),bkc,language,Africa,2.16013,13.7804
baka1273,Bakaka,bqz,language,Africa,4.79991,9.80402
baka1279,Baka (Mandara Mountains),,dialect,Africa,10.88152,14.19372
baka1274,Baka (South Sudan),bdh,language,Africa,4.65943,29.59
bake1241,Bake,,dialect,Africa,,
bake1242,Bakem,,dialect,Africa,,
bakh1247,Bakha,,dialect,Africa,,
baki1242,Baki (Cameroon),,dialect,Africa,,
bako1252,Bako,,dialect,Africa,,
bako1249,Bakoko,bkh,language,Africa,3.56518,9.99905
bako1250,Bakole,kme,language,Africa,4.43654,8.97387
bako1251,Bakoni,,dialect,Africa,,
baku1261,Bakundumu,,dialect,Africa,,
baku1260,Bakuure,,dialect,Africa,,
bakw1243,Bakwé,bjw,language,Africa,5.23123,-6.51077
bala1303,Balanka,,dialect,Africa,,
bala1302,Balanta-Ganja,bjt,language,Africa,12.5382,-15.6658
bala1301,Balanta-Kentohe,ble,language,Africa,11.8203,-15.3221
bala1304,Balaongwe,,dialect,Africa,,
bala1319,Balasa,,dialect,Africa,,
bala1305,Balatchi,,dialect,Africa,,
bald1241,Baldamu,bdn,language,Africa,10.9078,14.4674
bale1253,Balep,,dialect,Africa,,
bale1254,Balesi,,dialect,Africa,5.58318,35.18835
bale1252,Balessing,,dialect,Africa,,
bale1257,Baleveng,,dialect,Africa,,
bali1276,'Bali'ba,,dialect,Africa,,
bali1274,Bali (Democratic Republic of Congo),bcp,language,Africa,1.1807,26.5941
bali1245,Bali (Nigeria),bcn,language,Africa,8.81345,11.2952
bali1269,Bali Nyonga,,dialect,Africa,,
balo1264,Balo,bqo,language,Africa,6.12552,9.69365
liki1240,Balobo,lie,language,Africa,1.75106,19.0222
balo1262,Balondo,,dialect,Africa,,
balo1263,Balong,,dialect,Africa,,
balo1265,Baloum,,dialect,Africa,,
balt1262,Baltap-Lalin,,dialect,Africa,,
balu1255,Baluba,,dialect,Africa,,
balu1256,Baluombila,,dialect,Africa,,
bama1252,Bama,,dialect,Africa,,
bama1251,Bamali,bbq,language,Africa,5.91327,10.4567
bamb1265,Bambalang,bmo,language,Africa,5.861,10.544
bamb1269,Bambara,bam,language,Africa,12.9,-7.65
bamb1262,Bambassi,myf,language,Africa,9.82554,34.6522
bamb1264,Bambenzele,,dialect,Africa,,
bamb1267,Bambili,,dialect,Africa,,
bamb1266,Bambili-Bambui,baw,language,Africa,6.10821,10.2233
bamb1268,Bambui,,dialect,Africa,,
bamb1273,Bambur,,dialect,Africa,,
bame1261,Bameka,,dialect,Africa,,
bame1267,Bamendjinda,,dialect,Africa,,
bame1263,Bamendjing,,dialect,Africa,,
bame1266,Bamendjo,,dialect,Africa,,
bame1268,Bamendou,,dialect,Africa,,
bame1264,Bamenkumbo,,dialect,Africa,,
bame1260,Bamenyam,bce,language,Africa,5.77049,10.3302
bame1262,Bamessingue,,dialect,Africa,,
bame1265,Bamesso,,dialect,Africa,,
bami1240,Bamingun,,dialect,Africa,,
bamo1240,Bamoungong,,dialect,Africa,,
bamu1254,Bamukumbit,bqt,language,Africa,5.87292,10.3537
